chart_index,year,question,England,Wales,Scotland,Northern Ireland,year_focus,country,value
1,2020,Number of live births,"585,195","28,638","46,809","20,815",include,,
1,2019,Number of live births,"610,505","29,704","49,863","22,447",include,,
1,2018,Number of live births,"625,651","31,274","51,308","22,829",include,,
1,2017,Number of live births,"646,794","32,176","52,861","23,075",include,,
1,2016,Number of live births,"663,157","32,936","54,488","24,076",include,,
1,2015,Number of live births,"664,399","33,279","55,098","24,215",include,,
1,2014,Number of live births,"661,496","33,544","56,725","24,394",include,,
1,2013,Number of live births,"664,517","33,747","56,014","24,277",include,,
1,2012,Number of live births,"694,241","35,238","58,027","25,269",include,,
1,2011,Number of live births,"688,120","35,598","58,590","25,273",include,,
1,2010,Number of live births,"687,007","35,952","58,791","25,315",include,,
1,2009,Number of live births,"671,058","34,937","59,046","24,910",include,,
1,2008,Number of live births,"672,809","35,650","60,041","25,631",include,,
1,2007,Number of live births,"655,357","34,414","57,781","24,451",include,,
1,2006,Number of live births,"635,748","33,628","55,690","23,272",include,,
1,2005,Number of live births,"613,028","32,593","54,386","22,328",include,,
1,2004,Number of live births,"607,184","32,325","53,957","22,318",include,,
1,2003,Number of live births,"589,851","31,400","52,432","21,648",include,,
1,2002,Number of live births,"565,709","30,205","51,270","21,385",include,,
1,2001,Number of live births,"563,744","30,616","52,527","21,962",include,,
1,2000,Number of live births,"572,826","31,304","53,076","21,512",include,,
1,1999,Number of live births,"589,468","32,111","55,147","22,957",,,
1,1998,Number of live births,"602,111","33,438","57,319","23,668",,,
1,1997,Number of live births,"608,202","34,520","59,440","24,087",,,
1,1996,Number of live births,"614,184","34,894","59,296","24,382",,,
1,1995,Number of live births,"613,257","34,477","60,051","23,693",,,
1,1994,Number of live births,"628,956","35,366","61,656","24,098",,,
1,1993,Number of live births,"636,473","36,578","63,337","24,722",,,
1,1992,Number of live births,"651,784","37,523","65,789","25,354",,,
1,1991,Number of live births,"660,806","38,079","67,024","26,028",,,
1,1990,Number of live births,"666,920","38,866","65,973","26,251",,,
1,1989,Number of live births,"649,357","38,019","63,480","25,831",,,
1,1988,Number of live births,"654,363","38,824","66,212","27,514",,,
1,1987,Number of live births,"643,330","37,816","66,241","27,653",,,
1,1986,Number of live births,"623,609","37,038","65,812","27,975",,,
